205-KT,HOME SENTIMENTS KITCHEN TOWEL,"5 Designs - White Flour Sack
 Size - 16 x 28"" 
 Case Pack: 60
 Price: $ 1.45
",$87.00,instock,https://www.livingfashions.com/wp-content/uploads/205-kt.jpg
223-KT,INSPIRE ME SAYINGS KITCHEN TOWEL,"5 Designs - Flour Sack
 Size -16""x28""
 Case Pack: 60
 Price: $1.45
",$87.00,instock,https://www.livingfashions.com/wp-content/uploads/223-kt.jpg
132-P,FRUITS TAPESTRY PLACEMAT,"3 Designs -  Size: 13"" x 19""
 Case Pack: 72
 Unit Price: $ 0.95
",$68.40,outofstock,https://www.livingfashions.com/wp-content/uploads/132-p.jpg
153-P,FLORAL TAPESTRY PLACEMAT,"3 Designs - 13"" x 19""
 Case Pack: 72
 Unit Price: $ 0.95 each
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/153-p.jpg
1095X,CHINDI RAINBOW RUG,"Assorted designs
 Size: 20"" x 32"" 
 Case Pack: 18 (Minimum Qty 36)
 Unit Price: $ 1.95 each
",$35.10,instock,https://www.livingfashions.com/wp-content/uploads/1095x.jpg
517A-KPS,Pumpkin & Hayrides Printed,"Case Pack: 144
 Unit Price: $ 0.95 each
 72 PlaceMat (13x19""), 48 Kitchen Towel (15x25""), 12 Oven Mitt (12""), 12 Pot Holder (7x7"")
 *Case pack includes individual pieces, not packed as a set*
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/517a-kps.jpg
824-FHP,FALL TABLE MAT SURFACE PROTECTORS,"2 Pack Set - 4 Designs
 9"" Round - Cotton Trivett
 Case Pack: 48
 Unit Price: $ 1.20 each
",$57.60,instock,https://www.livingfashions.com/wp-content/uploads/824-fhp.jpg
506-KPS,Pumpkin Patch Tapestry,"Case Pack: 144
 Price: $ 0.95 each
 72 PlaceMat (13x19""), 48 Kitchen Towel (15x25""), 12 OvenMitt (12""), 12 PotHolder (7x7"")
 *Case pack includes individual pieces, not packed as a set*
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/506-kps.jpg
TB-IN,INDIANA STATE TOTE BAG,"1 Pack Bag - 14"" x 16""
 Case Pack: 36
 Unit Price: $ 2.40 each
",$86.40,instock,https://www.livingfashions.com/wp-content/uploads/tb-in.jpg
TB-OH,OHIO STATE TOTE BAG,"1 Pack Bag - 14"" x 16""
 Case Pack: 36
 Unit Price: $ 2.40 each
",$86.40,instock,https://www.livingfashions.com/wp-content/uploads/tb-oh.jpg
TB-SC,SOUTH CAROLINA STATE TOTE BAG,"1 Pack Bag - 14"" x 16""
 Case Pack: 36
 Unit Price: $ 2.40 each
",$86.40,instock,https://www.livingfashions.com/wp-content/uploads/tb-sc.jpg
TB-NC,NORTH CAROLINA STATE TOTE BAG,"1 Pack Bag - 14"" x 16""
 Case Pack: 36
 Unit Price: $ 2.40 each
",$86.40,instock,https://www.livingfashions.com/wp-content/uploads/tb-nc.jpg
TB-MI,MICHIGAN STATE TOTE BAG,"1 Pack Bag - 14"" x 16""
 Case Pack: 36
 Unit Price: $ 2.40 each
",$86.40,outofstock,https://www.livingfashions.com/wp-content/uploads/tb-mi.jpg
182-P,COUNTRY STYLE TAPESTRY PLACEMAT,"3 Designs - Size: 13"" x 19""
 Case Pack: 72
 Price: $0.95
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/182-p.jpg
525-KPS,SUNFLOWER TAPESTRY KPS,"60 Placemats; 48 Kitchen Towels, 12 Pot Holder, 12 Oven Mitt
 Case Pack: 144
 Unit Price: $ 0.95 each
  
 *Case pack includes individual pieces, not packed as a set*
",$136.80,instock,https://www.livingfashions.com/wp-content/uploads/525-kps.jpg
AZ214-P,VALENTINE PLACEMAT,"1 Design - 60% Cotton / 40% Polyester
 Item Size: 13x19""
 Case Pack: 48
 Unit Price: $ 0.75 each
",$36.00,instock,https://www.livingfashions.com/wp-content/uploads/az214-p.jpg
E22SW-PK,2PK EASTER KITCHEN TOWEL + POTHOLDER,"2 Pack Set - Kitchen Towel w/ Egg Shape PotHolder
 4 Designs - 15""x25""
 Case Pack: 48
 Unit Price: $ 3.00 each
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/e22sw-pk.jpg
102-P,*SOLD OUT*," 
 EASTER TAPESTRY PLACEMAT
 4 Designs - Size: 13x19""
 Case Pack: 96
 Price: $0.95
",$91.20,outofstock,https://www.livingfashions.com/wp-content/uploads/102-p.jpg
1124-TH,FALL HARVEST WOVEN COTTON THROW,"Size: 50""x 60"" - 3 Designs
 Case Pack: 12
 Unit Price: $ 8.00 each
 Weight: 750-775g
",$96.00,instock,https://www.livingfashions.com/wp-content/uploads/1124-th.jpg
652-KS,EASTER KITCHEN ITEMS,"Kitchen Towel 48, Pot Holder 12, Oven Mitt 12
 Size: 18x28"" KTowel
 Case Pack: 72
 Unit Price: $ 0.95 each
 *Case pack includes individual pieces, not packed as a set*
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/652-ks.jpg
1026-CHP,CHRISTMAS TABLE MAT SURFACE PROTECTORS,"2 Pack Set - 4 Designs
 9"" Round - Cotton Trivet
 Case Pack: 48
 Unit Price: $ 1.20 each
",$57.60,instock,https://www.livingfashions.com/wp-content/uploads/1026-chp.jpg
